cell,batch,stage,arm,theorem,seed,solved,qualified,failed,cost,input,cached,output,requests,resets,continued,uncached_cost
validation__ace_reset__induction_prod1p1onk3le3m1onn__seed0,final05,validation,ace_reset,induction_prod1p1onk3le3m1onn,0,True,True,False,0.03509482,241484,154811,12220,19,1,False,0.0629608
validation__agentic_reset_compact__mathd_numbertheory_43__seed0,final05,validation,agentic_reset_compact,mathd_numbertheory_43,0,False,False,False,0.027710280000000004,141402,90034,13030,18,0,False,0.043916399999999994
validation__agentic_reset_compact__induction_prod1p1onk3le3m1onn__seed0,final05,validation,agentic_reset_compact,induction_prod1p1onk3le3m1onn,0,True,True,False,0.03851128,175760,102664,18199,23,1,False,0.056990799999999994
validation__agentic_reset__mathd_numbertheory_43__seed1,final05,validation,agentic_reset,mathd_numbertheory_43,1,False,False,False,0.04106474000000001,469258,386447,13978,44,1,False,0.11062519999999999
validation__agentic_compact__induction_prod1p1onk3le3m1onn__seed0,final05,validation,agentic_compact,induction_prod1p1onk3le3m1onn,0,False,False,False,0.04065126,419802,329553,13342,38,0,False,0.09997079999999998
validation__ace_reset__mathd_numbertheory_43__seed0,final05,validation,ace_reset,mathd_numbertheory_43,0,False,False,False,0.03978202,324650,246931,16083,28,1,False,0.0842296
validation__ace__mathd_numbertheory_43__seed1,final05,validation,ace,mathd_numbertheory_43,1,False,False,False,0.015210540000000002,240642,215297,4863,19,0,False,0.053964
validation__ace__mathd_numbertheory_43__seed0,final05,validation,ace,mathd_numbertheory_43,0,False,False,False,0.031424879999999995,363942,313184,12508,30,0,False,0.087798
validation__agentic_compact__mathd_numbertheory_43__seed1,final05,validation,agentic_compact,mathd_numbertheory_43,1,False,False,False,0.019913359999999998,110407,71558,8927,16,0,False,0.0327938
validation__agentic__mathd_numbertheory_43__seed0,final05,validation,agentic,mathd_numbertheory_43,0,False,False,False,0.04030917999999999,202208,84049,12497,19,0,False,0.055438
validation__agentic_reset__induction_prod1p1onk3le3m1onn__seed0,final05,validation,agentic_reset,induction_prod1p1onk3le3m1onn,0,True,True,False,0.020953439999999997,310629,295162,9964,27,0,False,0.0740826
validation__ace_compact__induction_prod1p1onk3le3m1onn__seed0,final05,validation,ace_compact,induction_prod1p1onk3le3m1onn,0,False,False,False,0.04049564,437530,358562,14609,34,0,False,0.1050368
validation__ace_reset_compact__induction_prod1p1onk3le3m1onn__seed1,final05,validation,ace_reset_compact,induction_prod1p1onk3le3m1onn,1,False,False,False,0.04500984,433689,359382,19134,40,1,False,0.1096986
validation__agentic_reset__induction_prod1p1onk3le3m1onn__seed1,final05,validation,agentic_reset,induction_prod1p1onk3le3m1onn,1,False,False,False,0.04550305999999999,299938,180863,15059,32,2,False,0.0780584
validation__ace_compact__induction_prod1p1onk3le3m1onn__seed1,final05,validation,ace_compact,induction_prod1p1onk3le3m1onn,1,False,False,False,0.04115076,413790,339578,16264,36,0,False,0.1022748
validation__ace_reset_compact__induction_prod1p1onk3le3m1onn__seed0,final05,validation,ace_reset_compact,induction_prod1p1onk3le3m1onn,0,False,False,False,0.0459706,294077,198060,19005,30,1,False,0.0816214
validation__ace_reset__mathd_numbertheory_43__seed1,final05,validation,ace_reset,mathd_numbertheory_43,1,False,False,False,0.04063764,486123,419552,15777,39,2,False,0.116157
validation__ace_reset_compact__mathd_numbertheory_43__seed1,final05,validation,ace_reset_compact,mathd_numbertheory_43,1,False,False,False,0.025109939999999997,199503,149997,10174,20,0,False,0.0521094
validation__agentic__induction_prod1p1onk3le3m1onn__seed0,final05,validation,agentic,induction_prod1p1onk3le3m1onn,0,False,False,False,0.04258946,286288,147623,9920,22,0,False,0.0691616
validation__agentic__induction_prod1p1onk3le3m1onn__seed1,final05,validation,agentic,induction_prod1p1onk3le3m1onn,1,True,True,False,0.0344384,333250,271460,13876,29,0,False,0.08330119999999999
validation__agentic_compact__mathd_numbertheory_43__seed0,final05,validation,agentic_compact,mathd_numbertheory_43,0,False,False,False,0.03370874,209386,141667,14443,28,0,False,0.05920879999999999
validation__ace__induction_prod1p1onk3le3m1onn__seed0,final05,validation,ace,induction_prod1p1onk3le3m1onn,0,False,False,False,0.037515799999999995,227341,112920,10311,16,0,False,0.0578414
validation__ace_compact__mathd_numbertheory_43__seed1,final05,validation,ace_compact,mathd_numbertheory_43,1,False,False,False,0.040096839999999995,291386,209362,16254,26,0,False,0.07778199999999999
validation__ace_compact__mathd_numbertheory_43__seed0,final05,validation,ace_compact,mathd_numbertheory_43,0,False,False,False,0.01784982,291936,276441,7685,27,0,False,0.0676092
validation__agentic__mathd_numbertheory_43__seed1,final05,validation,agentic,mathd_numbertheory_43,1,False,False,False,0.020074500000000002,218487,180645,7411,22,0,False,0.0525906
validation__ace_reset__induction_prod1p1onk3le3m1onn__seed1,final05,validation,ace_reset,induction_prod1p1onk3le3m1onn,1,True,True,False,0.03843116,305719,216548,13555,26,1,False,0.0774098
validation__agentic_reset_compact__mathd_numbertheory_43__seed1,final05,validation,agentic_reset_compact,mathd_numbertheory_43,1,False,False,False,0.027088039999999994,139618,89982,12801,18,0,False,0.0432848
validation__agentic_reset__mathd_numbertheory_43__seed0,final05,validation,agentic_reset,mathd_numbertheory_43,0,False,False,False,0.03334394,314821,249037,12672,33,1,False,0.07817059999999999
validation__ace__induction_prod1p1onk3le3m1onn__seed1,final05,validation,ace,induction_prod1p1onk3le3m1onn,1,False,False,False,0.04285644,200028,83762,14940,15,0,False,0.057933599999999995
validation__agentic_compact__induction_prod1p1onk3le3m1onn__seed1,final05,validation,agentic_compact,induction_prod1p1onk3le3m1onn,1,False,False,False,0.042854939999999994,269463,146127,12721,26,0,False,0.06915779999999999
validation__ace_reset_compact__aime_1989_p8__seed1,final06,validation,ace_reset_compact,aime_1989_p8,1,True,True,False,0.0006456999999999999,5336,3535,179,1,0,False,0.001282
validation__agentic_compact__aime_1989_p8__seed0,final06,validation,agentic_compact,aime_1989_p8,0,True,True,False,0.0006027799999999999,3040,1269,186,1,0,False,0.0008311999999999999
validation__agentic__imo_1969_p2__seed0,final06,validation,agentic,imo_1969_p2,0,False,False,False,0.04059794,221383,111197,13614,20,0,False,0.0606134
validation__agentic_reset__aime_1989_p8__seed0,final06,validation,agentic_reset,aime_1989_p8,0,True,True,False,0.0001853,4378,4375,81,1,0,False,0.0009727999999999999
validation__agentic__aime_1989_p8__seed0,final06,validation,agentic,aime_1989_p8,0,True,True,False,0.00018649999999999998,4378,4375,82,1,0,False,0.0009739999999999999
validation__ace_reset__aime_1989_p8__seed1,final06,validation,ace_reset,aime_1989_p8,1,True,True,False,0.00031882,6674,6671,154,1,0,False,0.0015195999999999999
validation__agentic_reset_compact__imo_1969_p2__seed0,final06,validation,agentic_reset_compact,imo_1969_p2,0,False,False,False,0.04924223999999999,256728,164252,22885,31,2,False,0.0788076
validation__ace__aime_1989_p8__seed1,final06,validation,ace,aime_1989_p8,1,True,True,False,0.00054526,6674,4873,73,1,0,False,0.0014223999999999999
validation__ace_compact__aime_1989_p8__seed0,final06,validation,ace_compact,aime_1989_p8,0,True,True,False,0.00024045999999999998,5336,5333,111,1,0,False,0.0012004
validation__agentic__aime_1989_p8__seed1,final06,validation,agentic,aime_1989_p8,1,True,True,False,0.0001541,4378,4375,55,1,0,False,0.0009415999999999999
validation__ace_reset_compact__imo_1969_p2__seed0,final06,validation,ace_reset_compact,imo_1969_p2,0,False,False,False,0.04216583999999999,339195,253662,16655,31,1,False,0.087825
validation__agentic_reset_compact__aime_1989_p8__seed1,final06,validation,agentic_reset_compact,aime_1989_p8,1,True,True,False,0.00020174,3040,3037,117,1,0,False,0.0007484
validation__agentic_reset__imo_1969_p2__seed0,final06,validation,agentic_reset,imo_1969_p2,0,False,False,False,0.044196000000000006,281403,189070,18290,27,2,False,0.0782286
validation__ace_compact__aime_1989_p8__seed1,final06,validation,ace_compact,aime_1989_p8,1,True,True,False,0.00031846,5336,5333,176,1,0,False,0.0012783999999999998
validation__agentic_compact__imo_1969_p2__seed1,final06,validation,agentic_compact,imo_1969_p2,1,False,False,False,0.04361101999999999,250831,159191,18416,25,0,False,0.07226540000000001
validation__ace__aime_1989_p8__seed0,final06,validation,ace,aime_1989_p8,0,True,True,False,0.00029842,6674,6671,137,1,0,False,0.0014992
validation__ace_compact__imo_1969_p2__seed0,final06,validation,ace_compact,imo_1969_p2,0,False,False,False,0.039309760000000006,266717,172618,14198,24,0,False,0.070381
validation__agentic_reset__imo_1969_p2__seed1,final06,validation,agentic_reset,imo_1969_p2,1,False,False,False,0.048580079999999984,284694,156464,16504,28,2,False,0.0767436
validation__ace_reset__imo_1969_p2__seed1,final06,validation,ace_reset,imo_1969_p2,1,False,False,False,0.04292174000000001,367093,279647,16533,25,2,False,0.0932582
validation__agentic_compact__imo_1969_p2__seed0,final06,validation,agentic_compact,imo_1969_p2,0,False,False,False,0.042199139999999996,181212,89187,18342,21,0,False,0.0582528
validation__agentic__imo_1969_p2__seed1,final06,validation,agentic,imo_1969_p2,1,False,False,False,0.0390946,286958,179650,11700,23,0,False,0.0714316
validation__agentic_reset_compact__imo_1969_p2__seed1,final06,validation,agentic_reset_compact,imo_1969_p2,1,False,False,False,0.04751156,344437,256828,20711,42,2,False,0.09374060000000001
validation__agentic_compact__aime_1989_p8__seed1,final06,validation,agentic_compact,aime_1989_p8,1,True,True,False,0.00017054,3040,3037,91,1,0,False,0.0007171999999999999
validation__agentic_reset__aime_1989_p8__seed1,final06,validation,agentic_reset,aime_1989_p8,1,True,True,False,0.00053714,4378,2607,109,1,0,False,0.0010064
validation__ace__imo_1969_p2__seed1,final06,validation,ace,imo_1969_p2,1,False,False,False,0.03828174,301485,200267,11694,20,0,False,0.0743298
validation__agentic_reset_compact__aime_1989_p8__seed0,final06,validation,agentic_reset_compact,aime_1989_p8,0,True,True,False,0.00015614,3040,3037,79,1,0,False,0.0007028
validation__ace_reset_compact__aime_1989_p8__seed0,final06,validation,ace_reset_compact,aime_1989_p8,0,True,True,False,0.00042046,5336,5333,261,1,0,False,0.0013804
validation__ace_reset__aime_1989_p8__seed0,final06,validation,ace_reset,aime_1989_p8,0,True,True,False,0.00026241999999999997,6674,6671,107,1,0,False,0.0014632
validation__ace_reset__imo_1969_p2__seed0,final06,validation,ace_reset,imo_1969_p2,0,False,False,False,0.04717677999999999,439619,329059,15403,33,2,False,0.1064074
validation__ace_compact__imo_1969_p2__seed1,final06,validation,ace_compact,imo_1969_p2,1,False,False,False,0.039910759999999997,291697,195848,14020,25,0,False,0.07516339999999999
validation__ace__imo_1969_p2__seed0,final06,validation,ace,imo_1969_p2,0,False,False,False,0.03640836,352032,259278,10560,19,0,False,0.0830784
validation__ace_reset_compact__imo_1969_p2__seed1,final06,validation,ace_reset_compact,imo_1969_p2,1,False,False,False,0.04875133999999999,301228,214517,22599,26,2,False,0.0873644
validation__agentic_reset__amc12b_2020_p5__seed0,final07,validation,agentic_reset,amc12b_2020_p5,0,True,True,False,0.0006779399999999999,4014,2607,287,1,0,False,0.0011472
validation__agentic__aime_1984_p7__seed0,final07,validation,agentic,aime_1984_p7,0,False,False,False,0.03558997999999999,175465,119579,18351,15,0,False,0.0571142
validation__ace_reset__amc12b_2020_p5__seed1,final07,validation,ace_reset,amc12b_2020_p5,1,True,True,False,0.00046394000000000003,6310,6307,281,1,0,False,0.0015991999999999998
validation__ace__aime_1984_p7__seed0,final07,validation,ace,aime_1984_p7,0,False,False,False,0.038172399999999995,188741,116270,17794,16,0,False,0.059100999999999994
validation__ace__aime_1984_p7__seed1,final07,validation,ace,aime_1984_p7,1,True,True,False,0.01629132,72294,42666,7927,7,0,False,0.023971199999999998
validation__agentic_reset__aime_1984_p7__seed0,final07,validation,agentic_reset,aime_1984_p7,0,True,True,False,0.03787632,122271,46466,18155,13,1,False,0.046240199999999995
validation__ace_compact__aime_1984_p7__seed0,final07,validation,ace_compact,aime_1984_p7,0,False,False,False,0.03979612,129263,47536,18750,12,0,False,0.048352599999999996
validation__ace__amc12b_2020_p5__seed1,final07,validation,ace,amc12b_2020_p5,1,True,True,False,0.00057086,6310,4873,155,1,0,False,0.0014479999999999999
validation__agentic__amc12b_2020_p5__seed1,final07,validation,agentic,amc12b_2020_p5,1,True,True,False,0.00027642,4014,4011,163,1,0,False,0.0009984
validation__ace_reset__amc12b_2020_p5__seed0,final07,validation,ace_reset,amc12b_2020_p5,0,True,True,False,0.00031274,6310,6307,155,1,0,False,0.0014479999999999999
validation__ace_compact__aime_1984_p7__seed1,final07,validation,ace_compact,aime_1984_p7,1,False,False,False,0.04121064000000001,159801,71542,18440,15,0,False,0.0540882
validation__ace_reset_compact__amc12b_2020_p5__seed0,final07,validation,ace_reset_compact,amc12b_2020_p5,0,True,True,False,0.0010373,4972,3535,566,1,0,False,0.0016736
validation__agentic_reset_compact__amc12b_2020_p5__seed0,final07,validation,agentic_reset_compact,amc12b_2020_p5,0,True,True,False,0.00132552,6291,5346,858,2,0,False,0.0022877999999999996
validation__ace_reset_compact__amc12b_2020_p5__seed1,final07,validation,ace_reset_compact,amc12b_2020_p5,1,True,True,False,0.00046958,4972,4969,308,1,0,False,0.0013639999999999998
validation__agentic__amc12b_2020_p5__seed0,final07,validation,agentic,amc12b_2020_p5,0,True,True,False,0.00017202,4014,4011,76,1,0,False,0.000894
validation__ace_reset__aime_1984_p7__seed0,final07,validation,ace_reset,aime_1984_p7,0,False,False,False,0.046287039999999995,167747,97602,25255,13,1,False,0.0638554
validation__ace_reset_compact__aime_1984_p7__seed1,final07,validation,ace_reset_compact,aime_1984_p7,1,False,False,False,0.043898999999999994,118800,63910,26369,13,0,False,0.0554028
validation__agentic_compact__amc12b_2020_p5__seed0,final07,validation,agentic_compact,amc12b_2020_p5,0,True,True,False,0.0007116599999999999,2676,2673,548,1,0,False,0.0011928
validation__agentic_reset_compact__aime_1984_p7__seed1,final07,validation,agentic_reset_compact,aime_1984_p7,1,False,False,False,0.04909838,170059,100039,27578,22,1,False,0.06710540000000001
validation__agentic_compact__aime_1984_p7__seed0,final07,validation,agentic_compact,aime_1984_p7,0,False,False,False,0.04050724,119867,21512,17005,14,0,False,0.0443794
validation__ace_reset_compact__aime_1984_p7__seed0,final07,validation,ace_reset_compact,aime_1984_p7,0,True,True,False,0.0239764,74384,31340,12284,8,0,False,0.0296176
validation__agentic_compact__amc12b_2020_p5__seed1,final07,validation,agentic_compact,amc12b_2020_p5,1,True,True,False,0.00075292,5888,5346,448,2,0,False,0.0017152
validation__ace_compact__amc12b_2020_p5__seed1,final07,validation,ace_compact,amc12b_2020_p5,1,True,True,False,0.0010974000000000001,21333,20680,461,4,0,False,0.0048198
validation__agentic_reset_compact__amc12b_2020_p5__seed1,final07,validation,agentic_reset_compact,amc12b_2020_p5,1,True,True,False,0.0014116999999999999,12496,10175,620,4,0,False,0.0032432
validation__ace__amc12b_2020_p5__seed0,final07,validation,ace,amc12b_2020_p5,0,True,True,False,0.00049514,6310,6307,307,1,0,False,0.0016304
validation__agentic_reset__aime_1984_p7__seed1,final07,validation,agentic_reset,aime_1984_p7,1,True,True,False,0.03335584,112298,46112,15997,12,1,False,0.041656
validation__agentic_reset__amc12b_2020_p5__seed1,final07,validation,agentic_reset,amc12b_2020_p5,1,True,True,False,0.00020082,4014,4011,100,1,0,False,0.0009228
validation__agentic_compact__aime_1984_p7__seed1,final07,validation,agentic_compact,aime_1984_p7,1,False,False,False,0.04823426,72121,39813,34147,12,0,False,0.055400599999999994
validation__agentic__aime_1984_p7__seed1,final07,validation,agentic,aime_1984_p7,1,True,True,False,0.039921899999999996,145788,52785,16888,14,0,False,0.0494232
validation__agentic_reset_compact__aime_1984_p7__seed0,final07,validation,agentic_reset_compact,aime_1984_p7,0,False,False,False,0.046591579999999994,177499,82979,21690,22,1,False,0.061527799999999994
validation__ace_compact__amc12b_2020_p5__seed0,final07,validation,ace_compact,amc12b_2020_p5,0,True,True,False,0.00094996,10406,9938,548,2,0,False,0.0027388
validation__ace_reset__aime_1984_p7__seed1,final07,validation,ace_reset,aime_1984_p7,1,False,False,False,0.0399809,212053,126305,16921,17,1,False,0.0627158
validation__agentic_reset__mathd_algebra_190__seed1,final08,validation,agentic_reset,mathd_algebra_190,1,True,True,False,0.00030472,7646,7496,104,2,0,False,0.0016539999999999999
validation__ace_compact__mathd_algebra_190__seed1,final08,validation,ace_compact,mathd_algebra_190,1,True,True,False,0.0007003000000000001,4709,3535,329,1,0,False,0.0013365999999999999
validation__ace_compact__amc12a_2008_p4__seed0,final08,validation,ace_compact,amc12a_2008_p4,0,True,True,False,0.03168236,185626,94478,9636,19,0,False,0.04868839999999999
validation__agentic_reset__mathd_algebra_190__seed0,final08,validation,agentic_reset,mathd_algebra_190,0,True,True,False,0.00017996,3751,3748,87,1,0,False,0.0008545999999999998
validation__ace__amc12a_2008_p4__seed1,final08,validation,ace,amc12a_2008_p4,1,False,False,False,0.039147839999999996,492150,399712,10555,34,0,False,0.11109599999999999
validation__agentic_compact__amc12a_2008_p4__seed1,final08,validation,agentic_compact,amc12a_2008_p4,1,True,True,False,0.03339276,149775,72268,13705,21,0,False,0.046401
validation__ace_reset__mathd_algebra_190__seed0,final08,validation,ace_reset,mathd_algebra_190,0,True,True,False,0.00025228,6047,6044,109,1,0,False,0.0013402
validation__agentic_compact__amc12a_2008_p4__seed0,final08,validation,agentic_compact,amc12a_2008_p4,0,True,True,False,0.01631708,235855,222964,7733,33,0,False,0.0564506
validation__ace__mathd_algebra_190__seed1,final08,validation,ace,mathd_algebra_190,1,True,True,False,0.00041067999999999996,6047,6044,241,1,0,False,0.0014986
validation__agentic_reset_compact__amc12a_2008_p4__seed0,final08,validation,agentic_reset_compact,amc12a_2008_p4,0,True,True,False,0.020182080000000005,130620,85444,7865,21,0,False,0.035561999999999996
validation__ace_reset_compact__mathd_algebra_190__seed1,final08,validation,ace_reset_compact,mathd_algebra_190,1,True,True,False,0.00063952,4709,4706,454,1,0,False,0.0014865999999999998
validation__agentic__mathd_algebra_190__seed0,final08,validation,agentic,mathd_algebra_190,0,True,True,False,0.0005287,7661,6355,117,2,0,False,0.0016725999999999998
validation__ace_reset__amc12a_2008_p4__seed0,final08,validation,ace_reset,amc12a_2008_p4,0,True,True,False,0.01971464,137710,86812,6499,13,0,False,0.0353408
validation__agentic__amc12a_2008_p4__seed1,final08,validation,agentic,amc12a_2008_p4,1,True,True,False,0.022704899999999997,126204,67275,7978,15,0,False,0.034814399999999995
validation__ace__amc12a_2008_p4__seed0,final08,validation,ace,amc12a_2008_p4,0,True,True,False,0.04270514,323833,187817,9788,22,0,False,0.07651219999999999
validation__agentic_reset_compact__mathd_algebra_190__seed1,final08,validation,agentic_reset_compact,mathd_algebra_190,1,True,True,False,0.0002024,2413,2410,128,1,0,False,0.0006362
validation__agentic__amc12a_2008_p4__seed0,final08,validation,agentic,amc12a_2008_p4,0,True,True,False,0.030057059999999997,174963,83433,8402,20,0,False,0.045075
validation__agentic_reset_compact__mathd_algebra_190__seed0,final08,validation,agentic_reset_compact,mathd_algebra_190,0,True,True,False,0.00048439999999999996,2413,2410,363,1,0,False,0.0009181999999999999
validation__ace_reset_compact__amc12a_2008_p4__seed1,final08,validation,ace_reset_compact,amc12a_2008_p4,1,True,True,False,0.016694539999999997,284227,271567,7276,26,0,False,0.0655766
validation__ace_compact__mathd_algebra_190__seed0,final08,validation,ace_compact,mathd_algebra_190,0,True,True,False,0.0006359199999999999,4709,4706,451,1,0,False,0.001483
validation__agentic_compact__mathd_algebra_190__seed1,final08,validation,agentic_compact,mathd_algebra_190,1,True,True,False,0.0008974599999999999,7913,6353,382,3,0,False,0.002041
validation__ace_reset__mathd_algebra_190__seed1,final08,validation,ace_reset,mathd_algebra_190,1,True,True,False,0.00034588,6047,6044,187,1,0,False,0.0014338
validation__agentic_reset__amc12a_2008_p4__seed1,final08,validation,agentic_reset,amc12a_2008_p4,1,True,True,False,0.03555705999999999,272597,177853,10876,28,1,False,0.0675706
validation__ace__mathd_algebra_190__seed0,final08,validation,ace,mathd_algebra_190,0,True,True,False,0.00049306,6047,4873,134,1,0,False,0.0013702
validation__ace_compact__amc12a_2008_p4__seed1,final08,validation,ace_compact,amc12a_2008_p4,1,True,True,False,0.02722612,300557,259496,11520,28,0,False,0.0739354
validation__agentic_compact__mathd_algebra_190__seed0,final08,validation,agentic_compact,mathd_algebra_190,0,True,True,False,0.00018559999999999998,2413,2410,114,1,0,False,0.0006194
validation__agentic__mathd_algebra_190__seed1,final08,validation,agentic,mathd_algebra_190,1,True,True,False,0.00015716,3751,3748,68,1,0,False,0.0008317999999999999
validation__ace_reset_compact__amc12a_2008_p4__seed0,final08,validation,ace_reset_compact,amc12a_2008_p4,0,True,True,False,0.017822139999999997,185291,144947,5712,17,0,False,0.043912599999999996
validation__ace_reset_compact__mathd_algebra_190__seed0,final08,validation,ace_reset_compact,mathd_algebra_190,0,True,True,False,0.00043192,4709,4706,281,1,0,False,0.001279
validation__ace_reset__amc12a_2008_p4__seed1,final08,validation,ace_reset,amc12a_2008_p4,1,False,False,False,0.044653759999999994,668251,593858,14915,46,1,False,0.1515482
validation__agentic_reset_compact__amc12a_2008_p4__seed1,final08,validation,agentic_reset_compact,amc12a_2008_p4,1,True,True,False,0.04584438,326067,223639,17405,43,1,False,0.08609939999999999
validation__agentic_reset__amc12a_2008_p4__seed0,final08,validation,agentic_reset,amc12a_2008_p4,0,True,True,False,0.015104999999999999,99996,63770,5487,14,0,False,0.0265836
validation__ace_reset_compact__aime_1991_p9__seed1,final09,validation,ace_reset_compact,aime_1991_p9,1,False,False,False,0.045024259999999997,595051,543793,19914,52,1,False,0.142907
validation__ace__amc12a_2020_p21__seed0,final09,validation,ace,amc12a_2020_p21,0,False,False,False,0.03232021999999999,379327,328291,12956,24,0,False,0.0914126
validation__ace_reset__aime_1991_p9__seed1,final09,validation,ace_reset,aime_1991_p9,1,True,True,False,0.0384326,244636,151770,14020,20,1,False,0.0657512
validation__agentic_compact__aime_1991_p9__seed1,final09,validation,agentic_compact,aime_1991_p9,1,False,False,False,0.041485839999999996,241907,131642,14000,26,0,False,0.0651814
validation__ace_reset_compact__aime_1991_p9__seed0,final09,validation,ace_reset_compact,aime_1991_p9,0,False,False,False,0.04743244,242399,160812,23249,24,1,False,0.07637859999999999
validation__agentic__amc12a_2020_p21__seed1,final09,validation,agentic,amc12a_2020_p21,1,False,False,False,0.0387382,316952,238530,15236,24,0,False,0.0816736
validation__agentic_reset_compact__amc12a_2020_p21__seed1,final09,validation,agentic_reset_compact,amc12a_2020_p21,1,False,False,False,0.04384632,297183,214846,19235,32,1,False,0.0825186
validation__agentic_compact__amc12a_2020_p21__seed1,final09,validation,agentic_compact,amc12a_2020_p21,1,False,False,False,0.03206656000000001,567443,516278,9590,46,0,False,0.1249966
validation__ace__amc12a_2020_p21__seed1,final09,validation,ace,amc12a_2020_p21,1,False,False,False,0.03733324,288344,223682,16606,20,0,False,0.077596
validation__agentic_reset__aime_1991_p9__seed1,final09,validation,agentic_reset,aime_1991_p9,1,False,False,False,0.046120900000000006,256571,132185,15500,28,1,False,0.0699142
validation__agentic_compact__aime_1991_p9__seed0,final09,validation,agentic_compact,aime_1991_p9,0,False,False,False,0.04123726,263870,159153,14259,31,0,False,0.0698848
validation__ace_compact__amc12a_2020_p21__seed1,final09,validation,ace_compact,amc12a_2020_p21,1,False,False,False,0.029034959999999995,620223,591078,9487,45,0,False,0.135429
validation__ace_compact__aime_1991_p9__seed1,final09,validation,ace_compact,aime_1991_p9,1,False,False,False,0.03361082,637465,607481,12887,47,0,False,0.14295739999999998
validation__agentic__aime_1991_p9__seed1,final09,validation,agentic,aime_1991_p9,1,False,False,False,0.04023604,279149,173092,12969,25,0,False,0.0713926
validation__ace_reset__amc12a_2020_p21__seed1,final09,validation,ace_reset,amc12a_2020_p21,1,False,False,False,0.04727434,291902,199467,20665,24,2,False,0.0831784
validation__ace_compact__amc12a_2020_p21__seed0,final09,validation,ace_compact,amc12a_2020_p21,0,False,False,False,0.03565645999999999,303217,233923,14266,25,0,False,0.0777626
validation__agentic__amc12a_2020_p21__seed0,final09,validation,agentic,amc12a_2020_p21,0,False,False,False,0.03410472,226104,151716,13494,18,0,False,0.0614136
validation__ace__aime_1991_p9__seed0,final09,validation,ace,aime_1991_p9,0,False,False,False,0.041383699999999995,348922,236075,11744,26,0,False,0.0838772
validation__ace_reset_compact__amc12a_2020_p21__seed0,final09,validation,ace_reset_compact,amc12a_2020_p21,0,False,False,False,0.04380158,285394,214329,21085,29,2,False,0.0823808
validation__agentic_reset_compact__amc12a_2020_p21__seed0,final09,validation,agentic_reset_compact,amc12a_2020_p21,0,False,False,False,0.04243258,357773,296289,20175,37,1,False,0.09576459999999999
validation__ace_reset_compact__amc12a_2020_p21__seed1,final09,validation,ace_reset_compact,amc12a_2020_p21,1,False,False,False,0.0464868,266211,180210,21402,27,2,False,0.0789246
validation__agentic__aime_1991_p9__seed0,final09,validation,agentic,aime_1991_p9,0,False,False,False,0.04118881999999999,276520,158691,12041,25,0,False,0.0697532
validation__ace_reset__aime_1991_p9__seed0,final09,validation,ace_reset,aime_1991_p9,0,True,True,False,0.03783662,304969,217011,13254,26,1,False,0.0768986
validation__agentic_reset_compact__aime_1991_p9__seed0,final09,validation,agentic_reset_compact,aime_1991_p9,0,False,False,False,0.047259400000000014,440273,343440,17520,47,1,False,0.1090786
validation__agentic_reset__amc12a_2020_p21__seed0,final09,validation,agentic_reset,amc12a_2020_p21,0,False,False,False,0.037254220000000005,229322,160141,16846,22,2,False,0.0660796
validation__agentic_reset__aime_1991_p9__seed0,final09,validation,agentic_reset,aime_1991_p9,0,True,True,False,0.04362985999999999,244054,118743,13494,25,1,False,0.0650036
validation__ace_compact__aime_1991_p9__seed0,final09,validation,ace_compact,aime_1991_p9,0,False,False,False,0.03793268,583426,524294,13017,44,0,False,0.1323056
validation__ace__aime_1991_p9__seed1,final09,validation,ace,aime_1991_p9,1,False,False,False,0.03427722,180108,99011,13398,13,0,False,0.0520992
validation__ace_reset__amc12a_2020_p21__seed0,final09,validation,ace_reset,amc12a_2020_p21,0,False,False,False,0.04365892,369806,292486,18621,30,2,False,0.09630639999999999
validation__agentic_reset_compact__aime_1991_p9__seed1,final09,validation,agentic_reset_compact,aime_1991_p9,1,False,False,False,0.04877890000000001,322832,203055,17302,39,1,False,0.0853288
validation__agentic_reset__amc12a_2020_p21__seed1,final09,validation,agentic_reset,amc12a_2020_p21,1,False,False,False,0.03911402,275275,200841,16842,24,2,False,0.0752654
validation__agentic_compact__amc12a_2020_p21__seed0,final09,validation,agentic_compact,amc12a_2020_p21,0,False,False,False,0.031927420000000005,526259,485711,11753,45,0,False,0.11935539999999999
validation__ace_reset__mathd_algebra_433__seed0,final10,validation,ace_reset,mathd_algebra_433,0,True,True,False,0.00166524,14478,10882,607,2,0,False,0.0036239999999999996
validation__ace_reset__mathd_algebra_433__seed1,final10,validation,ace_reset,mathd_algebra_433,1,True,True,False,0.0023019,21207,15755,747,3,0,False,0.0051378000000000005
validation__ace_compact__mathd_algebra_433__seed1,final10,validation,ace_compact,mathd_algebra_433,1,True,True,False,0.00202282,16955,11741,621,3,0,False,0.0041362
validation__ace_reset_compact__mathd_numbertheory_405__seed0,final10,validation,ace_reset_compact,mathd_numbertheory_405,0,False,False,False,0.044996039999999994,160326,55702,19131,14,1,False,0.0550224
validation__ace__mathd_algebra_433__seed0,final10,validation,ace,mathd_algebra_433,0,True,True,False,0.0030076,36836,30360,921,5,0,False,0.0084724
validation__ace__mathd_numbertheory_405__seed1,final10,validation,ace,mathd_numbertheory_405,1,False,False,False,0.036585019999999996,133111,54391,16461,10,0,False,0.0463754
