cell,stage,role,arm,theorem,seed,strategy_returned_value,solved,qualified,failed,cost,input,cached,output,reasoning,uncached_cost,requests,drops
learning__adapt__reflector__mathd_algebra_28__seed0,learning,reflector,adapt,mathd_algebra_28,0,True,,,False,0.0069806799999999995,43352,13594,631,378,0.0094276,3,0
learning__adapt__reflector__mathd_algebra_247__seed0,learning,reflector,adapt,mathd_algebra_247,0,True,,,False,0.00613328,40411,13134,346,105,0.008497399999999999,3,0
validation__ace_selected__proof__amc12a_2019_p21__seed1,validation,proof,ace_selected,amc12a_2019_p21,1,False,False,False,False,0.026021700000000002,735717,714105,6181,3166,0.1545606,37,0
validation__agentic__proof__mathd_algebra_190__seed1,validation,proof,agentic,mathd_algebra_190,1,True,True,True,False,0.0005660999999999999,7686,6355,144,103,0.0017099999999999997,2,0
validation__ace_selected__proof__amc12a_2020_p21__seed1,validation,proof,ace_selected,amc12a_2020_p21,1,False,False,False,False,0.03143366,298168,243493,13024,10512,0.0752624,20,0
validation__ace_selected__proof__mathd_numbertheory_64__seed0,validation,proof,ace_selected,mathd_numbertheory_64,0,True,True,True,False,0.03021337999999999,229177,156209,10413,7618,0.058330999999999994,20,0
validation__ace_selected__proof__amc12a_2016_p3__seed0,validation,proof,ace_selected,amc12a_2016_p3,0,True,True,True,False,0.00880078,59447,38179,3153,2021,0.015673,6,0
validation__ace_selected__proof__imo_1984_p6__seed0,validation,proof,ace_selected,imo_1984_p6,0,False,False,False,False,0.03291242,239269,160061,11558,8476,0.0617234,21,0
validation__ace_selected__proof__aime_1991_p9__seed0,validation,proof,ace_selected,aime_1991_p9,0,False,False,False,False,0.04231471999999999,509011,410186,11955,7105,0.1161482,39,0
validation__ace_selected__proof__mathd_algebra_421__seed0,validation,proof,ace_selected,mathd_algebra_421,0,True,True,True,False,0.00213172,13382,9746,1008,698,0.0038859999999999997,2,0
validation__ace_selected__proof__amc12_2001_p21__seed1,validation,proof,ace_selected,amc12_2001_p21,1,False,False,False,False,0.014574,139227,114850,6168,4668,0.035247,16,0
validation__ace_selected__proof__imo_1964_p2__seed1,validation,proof,ace_selected,imo_1964_p2,1,False,False,False,False,0.039404640000000005,229416,118452,12369,6969,0.060725999999999995,17,0
validation__agentic__proof__amc12b_2003_p6__seed1,validation,proof,agentic,amc12b_2003_p6,1,True,True,True,False,0.010128660000000001,44382,18643,3840,2080,0.013484399999999999,7,0
validation__ace_selected__proof__mathd_numbertheory_33__seed0,validation,proof,ace_selected,mathd_numbertheory_33,0,True,True,True,False,0.00101642,12445,10901,408,290,0.0029786,2,0
validation__ace_selected__proof__mathd_algebra_234__seed0,validation,proof,ace_selected,mathd_algebra_234,0,True,True,True,False,0.00053086,6062,4873,163,119,0.001408,1,0
validation__ace_selected__proof__amc12a_2019_p21__seed0,validation,proof,ace_selected,amc12a_2019_p21,0,False,False,False,False,0.024673100000000003,636397,614375,6651,3383,0.1352606,39,0
validation__ace_selected__proof__imo_1969_p2__seed0,validation,proof,ace_selected,imo_1969_p2,0,False,False,False,False,0.03698173999999999,381349,295847,11637,8932,0.0902342,24,0
validation__agentic__proof__mathd_algebra_327__seed1,validation,proof,agentic,mathd_algebra_327,1,True,True,True,False,0.0018067399999999998,22306,17507,414,261,0.004958,4,0
validation__ace_selected__proof__amc12b_2020_p5__seed0,validation,proof,ace_selected,amc12b_2020_p5,0,True,True,True,False,0.00054806,6310,4873,136,100,0.0014252,1,0
validation__ace_selected__proof__imo_1981_p6__seed0,validation,proof,ace_selected,imo_1981_p6,0,True,True,True,False,0.00511054,31628,20977,2134,1306,0.0088864,4,0
validation__agentic__proof__amc12a_2016_p3__seed1,validation,proof,agentic,amc12a_2016_p3,1,True,True,True,False,0.010716839999999998,77844,45562,2791,1800,0.018917999999999997,8,0
validation__agentic__proof__aime_1989_p8__seed0,validation,proof,agentic,aime_1989_p8,0,True,True,True,False,0.00050354,4378,2607,81,51,0.0009727999999999999,1,0
validation__agentic__proof__mathd_algebra_214__seed1,validation,proof,agentic,mathd_algebra_214,1,True,True,True,False,0.00054974,3877,2607,203,154,0.001019,1,0
validation__agentic__proof__induction_prod1p1onk3le3m1onn__seed0,validation,proof,agentic,induction_prod1p1onk3le3m1onn,0,False,False,False,False,0.04076734,216809,96307,12284,7070,0.0581026,17,0
validation__ace_selected__proof__amc12b_2003_p6__seed1,validation,proof,ace_selected,amc12b_2003_p6,1,True,True,True,False,0.02892906,173217,112993,12187,7160,0.0492678,15,0
validation__ace_selected__proof__mathd_numbertheory_64__seed1,validation,proof,ace_selected,mathd_numbertheory_64,1,False,False,False,False,0.05339998,117662,96789,39408,6118,0.070822,13,0
validation__ace_selected__proof__mathd_algebra_433__seed1,validation,proof,ace_selected,mathd_algebra_433,1,True,True,True,False,0.0026826,27999,21960,863,527,0.0066354,4,0
validation__ace_selected__proof__aime_1991_p6__seed1,validation,proof,ace_selected,aime_1991_p6,1,False,False,False,False,0.04167208,357584,276684,16632,11534,0.09147519999999999,18,0
validation__agentic__proof__mathd_algebra_214__seed0,validation,proof,agentic,mathd_algebra_214,0,True,True,True,False,0.00107622,8142,6481,512,397,0.0022427999999999997,2,0
validation__ace_selected__proof__mathd_algebra_190__seed0,validation,proof,ace_selected,mathd_algebra_190,0,True,True,True,False,0.00074866,6047,4873,347,330,0.0016258,1,0
validation__ace_selected__proof__aime_1989_p8__seed1,validation,proof,ace_selected,aime_1989_p8,1,True,True,True,False,0.00057046,6674,4873,94,61,0.0014475999999999998,1,0
validation__agentic__proof__mathd_numbertheory_530__seed0,validation,proof,agentic,mathd_numbertheory_530,0,False,False,False,False,0.038628779999999995,320589,209799,10229,4287,0.07639259999999999,23,0
validation__ace_selected__proof__aime_1989_p8__seed0,validation,proof,ace_selected,aime_1989_p8,0,True,True,True,False,0.00027202,6674,6671,115,59,0.0014727999999999998,1,0
validation__agentic__proof__amc12b_2003_p6__seed0,validation,proof,agentic,amc12b_2003_p6,0,True,True,True,False,0.01760926,123743,85283,6843,3915,0.032960199999999995,14,0
validation__agentic__proof__mathd_algebra_282__seed0,validation,proof,agentic,mathd_algebra_282,0,False,False,False,False,0.0378989,458293,361925,9489,7177,0.1030454,31,0
validation__ace_selected__proof__aime_1984_p7__seed1,validation,proof,ace_selected,aime_1984_p7,1,False,False,False,False,0.041301159999999996,261116,190918,19536,14938,0.0756664,23,0
validation__agentic__proof__amc12_2000_p12__seed1,validation,proof,agentic,amc12_2000_p12,1,True,True,True,False,0.012091379999999999,51744,28879,5784,5263,0.0172896,9,0
validation__agentic__proof__imo_1960_p2__seed0,validation,proof,agentic,imo_1960_p2,0,True,True,True,False,0.005892199999999999,36817,23360,2278,1384,0.010097,6,0
validation__agentic__proof__induction_prod1p1onk3le3m1onn__seed1,validation,proof,agentic,induction_prod1p1onk3le3m1onn,1,True,True,True,False,0.029081419999999997,203839,123851,8839,4184,0.0513746,19,0
validation__ace_selected__proof__amc12b_2002_p3__seed1,validation,proof,ace_selected,amc12b_2002_p3,1,True,True,True,False,0.01013066,87823,65833,3680,1813,0.0219806,9,0
validation__ace_selected__proof__mathd_numbertheory_37__seed1,validation,proof,ace_selected,mathd_numbertheory_37,1,False,False,False,False,0.04980636,111948,86258,35786,2723,0.0653328,12,0
validation__agentic__proof__imo_1969_p2__seed1,validation,proof,agentic,imo_1969_p2,1,False,False,False,False,0.04055726,281272,180973,14065,11009,0.0731324,24,0
validation__agentic__proof__mathd_numbertheory_64__seed0,validation,proof,agentic,mathd_numbertheory_64,0,True,True,True,False,0.029142559999999998,272398,220128,11905,9476,0.0687656,28,0
validation__ace_selected__proof__algebra_others_exirrpowirrrat__seed1,validation,proof,ace_selected,algebra_others_exirrpowirrrat,1,False,False,False,False,0.03561307999999999,435736,364774,11771,6533,0.1012724,27,0
validation__ace_selected__proof__imo_1969_p2__seed1,validation,proof,ace_selected,imo_1969_p2,1,False,False,False,False,0.03944704,393764,288772,10561,8230,0.091426,23,0
validation__ace_selected__proof__amc12a_2013_p8__seed1,validation,proof,ace_selected,amc12a_2013_p8,1,True,True,True,False,0.01252412,80140,61206,6261,4927,0.023541199999999998,10,0
validation__agentic__proof__mathd_numbertheory_530__seed1,validation,proof,agentic,mathd_numbertheory_530,1,False,False,False,False,0.03715221999999999,486653,396831,9376,4853,0.10858179999999999,34,0
validation__ace_selected__proof__amc12a_2002_p6__seed0,validation,proof,ace_selected,amc12a_2002_p6,0,True,True,True,False,0.00194772,14676,9746,639,567,0.003702,2,0
validation__ace_selected__proof__amc12a_2013_p8__seed0,validation,proof,ace_selected,amc12a_2013_p8,0,True,True,True,False,0.007368120000000001,44121,35076,4048,2627,0.0136818,6,0
validation__ace_selected__proof__mathd_numbertheory_43__seed0,validation,proof,ace_selected,mathd_numbertheory_43,0,False,False,False,False,0.02709052,215036,155146,10008,6273,0.0550168,18,0
validation__ace_selected__proof__aime_1991_p9__seed1,validation,proof,ace_selected,aime_1991_p9,1,False,False,False,False,0.04069555999999999,270442,141678,10091,5681,0.0661976,21,0
validation__agentic__proof__amc12a_2013_p8__seed1,validation,proof,agentic,amc12a_2013_p8,1,True,True,True,False,0.01255938,74061,49709,5579,4306,0.021507,12,0
validation__ace_selected__proof__amc12a_2008_p4__seed0,validation,proof,ace_selected,amc12a_2008_p4,0,True,True,True,False,0.01735072,110213,60246,5127,3300,0.028195,11,0
validation__ace_selected__proof__mathd_numbertheory_43__seed1,validation,proof,ace_selected,mathd_numbertheory_43,1,False,False,False,False,0.01892296,223397,193538,7567,4810,0.053759799999999996,19,0
validation__ace_selected__proof__amc12_2000_p12__seed1,validation,proof,ace_selected,amc12_2000_p12,1,False,False,False,False,0.023638040000000003,107035,66872,11890,10774,0.035675,13,0
validation__agentic__proof__amc12a_2019_p21__seed1,validation,proof,agentic,amc12a_2019_p21,1,False,False,False,False,0.04162282,627437,528781,9430,5937,0.1368034,37,0
validation__agentic__proof__mathd_numbertheory_33__seed1,validation,proof,agentic,mathd_numbertheory_33,1,True,True,True,False,0.005974299999999999,53102,43365,2633,1939,0.013779999999999999,8,0
validation__agentic__proof__mathd_algebra_421__seed0,validation,proof,agentic,mathd_algebra_421,0,True,True,True,False,0.00320962,23540,14651,949,410,0.005846799999999999,4,0
validation__agentic__proof__algebra_others_exirrpowirrrat__seed1,validation,proof,agentic,algebra_others_exirrpowirrrat,1,False,False,False,False,0.0400485,314340,201275,11175,4797,0.076278,27,0
validation__ace_selected__proof__mathd_algebra_393__seed1,validation,proof,ace_selected,mathd_algebra_393,1,True,True,True,False,0.00579724,29351,19492,2863,1832,0.0093058,4,0
validation__agentic__proof__mathd_algebra_433__seed1,validation,proof,agentic,mathd_algebra_433,1,True,True,True,False,0.00233636,29995,24428,612,405,0.0067334,5,0
validation__agentic__proof__mathd_algebra_190__seed0,validation,proof,agentic,mathd_algebra_190,0,True,True,True,False,0.00018476,3751,3748,91,77,0.0008594,1,0
validation__agentic__proof__amc12a_2020_p21__seed0,validation,proof,agentic,amc12a_2020_p21,0,False,False,False,False,0.03965978,225178,133619,15563,9408,0.0637112,20,0
validation__ace_selected__proof__mathd_numbertheory_303__seed1,validation,proof,ace_selected,mathd_numbertheory_303,1,False,False,False,False,0.03575488000000001,318809,268274,16902,10100,0.0840442,23,0
validation__ace_selected__proof__mathd_algebra_282__seed0,validation,proof,ace_selected,mathd_algebra_282,0,False,False,False,False,0.02890748000000001,762361,723144,5501,3028,0.1590734,34,0
validation__agentic__proof__mathd_numbertheory_37__seed1,validation,proof,agentic,mathd_numbertheory_37,1,False,False,False,False,0.01839948,162687,110524,4797,2934,0.038293799999999996,19,0
validation__ace_selected__proof__mathd_algebra_251__seed0,validation,proof,ace_selected,mathd_algebra_251,0,True,True,True,False,0.0038813199999999993,33101,25556,1551,1290,0.0084814,5,0
validation__ace_selected__proof__mathd_numbertheory_33__seed1,validation,proof,ace_selected,mathd_numbertheory_33,1,True,True,True,False,0.00041035999999999997,6031,6028,241,148,0.0014954,1,0
validation__agentic__proof__amc12a_2008_p4__seed1,validation,proof,agentic,amc12a_2008_p4,1,True,True,True,False,0.021927139999999998,120748,64347,7800,5861,0.0335096,16,0
validation__ace_selected__proof__amc12a_2008_p4__seed1,validation,proof,ace_selected,amc12a_2008_p4,1,True,True,True,False,0.01854948,130920,89854,7116,4503,0.034723199999999996,13,0
validation__ace_selected__proof__induction_prod1p1onk3le3m1onn__seed0,validation,proof,ace_selected,induction_prod1p1onk3le3m1onn,0,False,False,False,False,0.042683839999999994,274186,140872,11003,5474,0.0680408,18,0
validation__agentic__proof__amc12a_2013_p8__seed0,validation,proof,agentic,amc12a_2013_p8,0,True,True,True,False,0.01876424,104410,56392,6694,3685,0.028914799999999997,15,0
validation__ace_selected__proof__mathd_numbertheory_284__seed1,validation,proof,ace_selected,mathd_numbertheory_284,1,True,True,True,False,0.0005682599999999999,6081,4873,191,144,0.0014454,1,0
validation__agentic__proof__mathd_algebra_251__seed0,validation,proof,agentic,mathd_algebra_251,0,True,True,True,False,0.005523139999999999,35845,21317,1826,1322,0.009360199999999999,7,0
validation__ace_selected__proof__imo_1960_p2__seed0,validation,proof,ace_selected,imo_1960_p2,0,True,True,True,False,0.00645172,51830,42326,3087,1928,0.0140704,6,0
validation__ace_selected__proof__mathd_algebra_393__seed0,validation,proof,ace_selected,mathd_algebra_393,0,True,True,True,False,0.0091268,89002,78020,4475,3122,0.0231704,11,0
validation__ace_selected__proof__imo_1960_p2__seed1,validation,proof,ace_selected,imo_1960_p2,1,True,True,True,False,0.0051381,38304,31415,2610,1830,0.010792799999999998,5,0
validation__ace_selected__proof__aime_1984_p7__seed0,validation,proof,ace_selected,aime_1984_p7,0,False,False,False,False,0.038299679999999996,199062,106304,14685,6368,0.0574344,15,0
validation__ace_selected__proof__amc12b_2020_p5__seed1,validation,proof,ace_selected,amc12b_2020_p5,1,True,True,True,False,0.00034994,6310,6307,186,123,0.0014851999999999999,1,0
validation__ace_selected__proof__mathd_numbertheory_530__seed0,validation,proof,ace_selected,mathd_numbertheory_530,0,False,False,False,False,0.041022079999999995,308719,195134,12002,5690,0.0761462,21,0
validation__agentic__proof__mathd_numbertheory_43__seed1,validation,proof,agentic,mathd_numbertheory_43,1,False,False,False,False,0.02138976,153252,98688,7086,4404,0.0391536,15,0
validation__agentic__proof__mathd_algebra_393__seed1,validation,proof,agentic,mathd_algebra_393,1,True,True,True,False,0.012658780000000001,96953,69859,4869,2693,0.0252334,14,0
validation__ace_selected__proof__mathd_algebra_214__seed1,validation,proof,ace_selected,mathd_algebra_214,1,True,True,True,False,0.00073546,6173,4873,315,243,0.0016126,1,0
validation__ace_selected__proof__amc12_2000_p12__seed0,validation,proof,ace_selected,amc12_2000_p12,0,True,True,True,False,0.011008519999999997,44884,32026,6497,5695,0.0167732,6,0
validation__agentic__proof__mathd_numbertheory_461__seed1,validation,proof,agentic,mathd_numbertheory_461,1,True,True,True,False,0.0005215399999999999,3802,2607,192,167,0.0009908,1,0
validation__ace_selected__proof__amc12a_2020_p21__seed0,validation,proof,ace_selected,amc12a_2020_p21,0,False,False,False,False,0.03401219999999999,251652,191130,15071,11197,0.0684156,18,0
validation__ace_selected__proof__imo_1981_p6__seed1,validation,proof,ace_selected,imo_1981_p6,1,True,True,True,False,0.00736252,45719,34076,3627,2456,0.0134962,5,0
validation__agentic__proof__amc12a_2019_p21__seed0,validation,proof,agentic,amc12a_2019_p21,0,False,False,False,False,0.03540454,299540,173477,5602,3840,0.06663039999999999,20,0
validation__agentic__proof__algebra_others_exirrpowirrrat__seed0,validation,proof,agentic,algebra_others_exirrpowirrrat,0,False,False,False,False,0.03952546,412793,327973,13335,9196,0.0985606,30,0
validation__ace_selected__proof__imo_1984_p6__seed1,validation,proof,ace_selected,imo_1984_p6,1,False,False,False,False,0.039991219999999994,289489,178881,11910,9110,0.0721898,20,0
validation__agentic__proof__amc12a_2002_p6__seed1,validation,proof,agentic,amc12a_2002_p6,1,True,True,True,False,0.00040074,3810,2607,90,61,0.00087,1,0
validation__ace_selected__proof__mathd_numbertheory_303__seed0,validation,proof,ace_selected,mathd_numbertheory_303,0,False,False,False,False,0.03834329999999999,302892,233675,16522,9922,0.0804048,21,0
validation__agentic__proof__mathd_algebra_234__seed0,validation,proof,agentic,mathd_algebra_234,0,True,True,True,False,0.00039314,3766,2607,91,72,0.0008623999999999999,1,0
validation__agentic__proof__amc12a_2016_p3__seed0,validation,proof,agentic,amc12a_2016_p3,0,True,True,True,False,0.01107796,56189,25108,3633,1893,0.015597399999999999,7,0
validation__ace_selected__proof__mathd_numbertheory_405__seed0,validation,proof,ace_selected,mathd_numbertheory_405,0,True,True,True,False,0.02138758,97619,51979,9350,3449,0.030743799999999998,8,0
validation__agentic__proof__amc12a_2002_p6__seed0,validation,proof,agentic,amc12a_2002_p6,0,True,True,True,False,0.00138968,10093,6414,438,360,0.0025442,2,0
validation__agentic__proof__mathd_numbertheory_284__seed0,validation,proof,agentic,mathd_numbertheory_284,0,True,True,True,False,0.00047974,3785,2607,160,133,0.000949,1,0
validation__ace_selected__proof__mathd_numbertheory_37__seed0,validation,proof,ace_selected,mathd_numbertheory_37,0,False,False,False,False,0.03253640000000001,406222,330360,8964,6000,0.09200119999999999,32,0
validation__ace_selected__proof__mathd_algebra_327__seed0,validation,proof,ace_selected,mathd_algebra_327,0,True,True,True,False,0.0016399,15413,10935,438,295,0.0036081999999999998,2,0
validation__ace_selected__proof__mathd_algebra_190__seed1,validation,proof,ace_selected,mathd_algebra_190,1,True,True,True,False,0.00028587999999999997,6047,6044,137,120,0.0013738,1,0
validation__ace_selected__proof__mathd_algebra_251__seed1,validation,proof,ace_selected,mathd_algebra_251,1,True,True,True,False,0.0021696199999999997,19375,17321,1177,1017,0.005287399999999999,3,0
validation__agentic__proof__amc12a_2008_p4__seed0,validation,proof,agentic,amc12a_2008_p4,0,False,False,False,False,0.026343079999999994,647680,621314,7203,4057,0.13817959999999999,50,0
validation__ace_selected__proof__mathd_numbertheory_461__seed0,validation,proof,ace_selected,mathd_numbertheory_461,0,True,True,True,False,0.00057526,6098,4873,194,110,0.0014524,1,0
validation__ace_selected__proof__mathd_algebra_234__seed1,validation,proof,ace_selected,mathd_algebra_234,1,True,True,True,False,0.00051298,6062,6059,326,304,0.0016036,1,0
validation__agentic__proof__amc12b_2002_p3__seed0,validation,proof,agentic,amc12b_2002_p3,0,True,True,True,False,0.010497339999999997,78293,58347,4451,2847,0.0209998,10,0
validation__agentic__proof__mathd_numbertheory_405__seed1,validation,proof,agentic,mathd_numbertheory_405,1,False,False,False,False,0.037801699999999994,178015,81385,14040,4612,0.052451,14,0
validation__agentic__proof__amc12_2001_p21__seed0,validation,proof,agentic,amc12_2001_p21,0,False,False,False,False,0.02167964,139141,95172,9152,7759,0.0388106,17,0
validation__agentic__proof__imo_1964_p2__seed0,validation,proof,agentic,imo_1964_p2,0,True,True,True,False,0.03587582,216679,126391,12742,6033,0.058626199999999996,20,0
validation__agentic__proof__mathd_numbertheory_405__seed0,validation,proof,agentic,mathd_numbertheory_405,0,False,False,False,False,0.03629434,145988,61127,15083,6597,0.0472972,12,0
validation__agentic__proof__aime_1989_p8__seed1,validation,proof,agentic,aime_1989_p8,1,True,True,True,False,0.0001721,4378,4375,70,40,0.0009595999999999999,1,0
validation__agentic__proof__imo_1964_p2__seed1,validation,proof,agentic,imo_1964_p2,1,True,True,True,False,0.0127447,74153,40395,4321,2611,0.020015799999999997,7,0
validation__agentic__proof__aime_1991_p9__seed1,validation,proof,agentic,aime_1991_p9,1,False,False,False,False,0.040432180000000005,296303,193409,13321,8892,0.0752458,29,0
validation__ace_selected__proof__imo_1964_p2__seed0,validation,proof,ace_selected,imo_1964_p2,0,False,False,False,False,0.03697536,205914,101188,11672,5257,0.0551892,15,0
validation__agentic__proof__aime_1991_p6__seed0,validation,proof,agentic,aime_1991_p6,0,False,False,False,False,0.04548893999999999,204123,124187,22515,13410,0.0678426,16,0
validation__agentic__proof__mathd_numbertheory_284__seed1,validation,proof,agentic,mathd_numbertheory_284,1,True,True,True,False,0.00047168000000000004,7846,7564,220,163,0.0018332,2,0
validation__agentic__proof__mathd_numbertheory_43__seed0,validation,proof,agentic,mathd_numbertheory_43,0,False,False,False,False,0.01584698,159955,133809,6618,4439,0.0399326,17,0
validation__agentic__proof__amc12_2001_p21__seed1,validation,proof,agentic,amc12_2001_p21,1,True,True,True,False,0.012883839999999999,53849,32522,6640,5796,0.0187378,9,0
validation__ace_selected__proof__amc12_2001_p21__seed0,validation,proof,ace_selected,amc12_2001_p21,0,False,False,False,False,0.025885279999999993,239107,192254,10558,8136,0.060490999999999996,21,0
validation__agentic__proof__imo_1981_p6__seed1,validation,proof,agentic,imo_1981_p6,1,True,True,True,False,0.0051595600000000005,26507,19768,2847,1905,0.0087178,5,0
validation__agentic__proof__mathd_numbertheory_37__seed0,validation,proof,agentic,mathd_numbertheory_37,0,False,False,False,False,0.01584984,142659,105342,5233,3673,0.0348114,18,0
validation__agentic__proof__imo_1984_p6__seed0,validation,proof,agentic,imo_1984_p6,0,False,False,False,False,0.013335,77559,40800,4306,3199,0.020679,10,0
validation__agentic__proof__amc12b_2002_p3__seed1,validation,proof,agentic,amc12b_2002_p3,1,True,True,True,False,0.0040075,29144,18665,1282,810,0.007367199999999999,5,0
validation__agentic__proof__amc12b_2020_p5__seed0,validation,proof,agentic,amc12b_2020_p5,0,True,True,True,False,0.00060616,8225,6618,127,71,0.0017974,2,0
validation__agentic__proof__mathd_numbertheory_303__seed0,validation,proof,agentic,mathd_numbertheory_303,0,False,False,False,False,0.04210684,321449,233112,16481,11533,0.084067,27,0
validation__agentic__proof__mathd_algebra_234__seed1,validation,proof,agentic,mathd_algebra_234,1,True,True,True,False,0.00019226,3766,3763,97,70,0.0008696,1,0
validation__ace_selected__proof__mathd_numbertheory_461__seed1,validation,proof,ace_selected,mathd_numbertheory_461,1,True,True,True,False,0.0004297,6098,6095,256,183,0.0015268,1,0
validation__agentic__proof__amc12a_2020_p21__seed1,validation,proof,agentic,amc12a_2020_p21,1,False,False,False,False,0.03151192,187127,115666,12422,8587,0.0523318,16,0
validation__ace_selected__proof__amc12b_2003_p6__seed0,validation,proof,ace_selected,amc12b_2003_p6,0,True,True,True,False,0.018520540000000002,134771,89867,6452,3801,0.0346966,13,0
validation__agentic__proof__mathd_algebra_421__seed1,validation,proof,agentic,mathd_algebra_421,1,True,True,True,False,0.0015553199999999998,18264,17146,824,587,0.0046416,4,0
validation__ace_selected__proof__amc12b_2002_p3__seed0,validation,proof,ace_selected,amc12b_2002_p3,0,True,True,True,False,0.009521439999999999,140399,125962,3429,1783,0.0321946,14,0
validation__agentic__proof__mathd_algebra_251__seed1,validation,proof,agentic,mathd_algebra_251,1,True,True,True,False,0.00273728,22099,18774,1414,1066,0.0061166,5,0
validation__agentic__proof__mathd_algebra_393__seed0,validation,proof,agentic,mathd_algebra_393,0,True,True,True,False,0.00576166,27596,20953,3345,2137,0.0095332,5,0
validation__agentic__proof__mathd_numbertheory_303__seed1,validation,proof,agentic,mathd_numbertheory_303,1,False,False,False,False,0.038961060000000006,238242,138343,13512,7423,0.0638628,21,0
validation__ace_selected__proof__algebra_others_exirrpowirrrat__seed0,validation,proof,ace_selected,algebra_others_exirrpowirrrat,0,False,False,False,False,0.03664692,369048,283746,11593,7222,0.0877212,27,0
validation__agentic__proof__imo_1984_p6__seed1,validation,proof,agentic,imo_1984_p6,1,False,False,False,False,0.04144908,336618,233474,13459,9504,0.08347439999999999,24,0
validation__ace_selected__proof__mathd_algebra_327__seed1,validation,proof,ace_selected,mathd_algebra_327,1,True,True,True,False,0.00149638,21701,18359,384,239,0.004801,3,0
validation__agentic__proof__aime_1984_p7__seed0,validation,proof,agentic,aime_1984_p7,0,True,True,True,False,0.030002819999999996,68262,25871,17506,13805,0.0346596,9,0
validation__ace_selected__proof__mathd_algebra_214__seed0,validation,proof,ace_selected,mathd_algebra_214,0,True,True,True,False,0.00043959999999999995,6173,6170,263,194,0.0015501999999999998,1,0
validation__agentic__proof__aime_1991_p9__seed0,validation,proof,agentic,aime_1991_p9,0,True,True,True,False,0.02913366,179028,97473,9061,5180,0.0466788,18,0
validation__agentic__proof__mathd_numbertheory_461__seed0,validation,proof,agentic,mathd_numbertheory_461,0,True,True,True,False,0.00029498,3802,3799,182,155,0.0009788,1,0
validation__agentic__proof__amc12b_2020_p5__seed1,validation,proof,agentic,amc12b_2020_p5,1,True,True,True,False,0.00018402000000000002,4014,4011,86,53,0.000906,1,0
validation__agentic__proof__imo_1981_p6__seed0,validation,proof,agentic,imo_1981_p6,0,True,True,True,False,0.01675158,85506,41709,5965,2826,0.024259199999999998,11,0
validation__agentic__proof__amc12_2000_p12__seed0,validation,proof,agentic,amc12_2000_p12,0,True,True,True,False,0.00955686,42102,31493,5671,5033,0.015225599999999999,8,0
validation__ace_selected__proof__mathd_numbertheory_405__seed1,validation,proof,ace_selected,mathd_numbertheory_405,1,False,False,False,False,0.04236763999999999,166165,64372,17268,4618,0.0539546,11,0
validation__agentic__proof__aime_1991_p6__seed1,validation,proof,agentic,aime_1991_p6,1,False,False,False,False,0.03621064,286166,175152,8754,5791,0.06773799999999999,18,0
validation__ace_selected__proof__amc12a_2016_p3__seed1,validation,proof,ace_selected,amc12a_2016_p3,1,True,True,True,False,0.02389408,218096,154784,6780,3298,0.0517552,15,0
validation__ace_selected__proof__induction_prod1p1onk3le3m1onn__seed1,validation,proof,ace_selected,induction_prod1p1onk3le3m1onn,1,True,True,True,False,0.03621132,235623,123676,9457,4191,0.058473,15,0
validation__agentic__proof__mathd_algebra_327__seed0,validation,proof,agentic,mathd_algebra_327,0,True,True,True,False,0.0012864999999999999,14780,11455,327,196,0.0033483999999999996,3,0
validation__agentic__proof__mathd_algebra_282__seed1,validation,proof,agentic,mathd_algebra_282,1,False,False,False,False,0.03355694,583051,518247,8526,6119,0.1268414,34,0
validation__ace_selected__proof__mathd_algebra_282__seed1,validation,proof,ace_selected,mathd_algebra_282,1,False,False,False,False,0.03089786000000001,644878,589623,6712,4975,0.13702999999999999,31,0
validation__ace_selected__proof__mathd_algebra_421__seed1,validation,proof,ace_selected,mathd_algebra_421,1,True,True,True,False,0.0023096,25063,20430,812,403,0.005986999999999999,3,0
validation__ace_selected__proof__aime_1991_p6__seed0,validation,proof,ace_selected,aime_1991_p6,0,False,False,False,False,0.03660026,189850,79143,10730,7813,0.050845999999999995,12,0
validation__ace_selected__proof__mathd_algebra_433__seed0,validation,proof,ace_selected,mathd_algebra_433,0,True,True,True,False,0.00176522,20956,16891,512,339,0.0048056,3,0
validation__ace_selected__proof__amc12a_2002_p6__seed1,validation,proof,ace_selected,amc12a_2002_p6,1,True,True,True,False,0.00034946,6106,6103,189,151,0.001448,1,0
validation__agentic__proof__imo_1969_p2__seed0,validation,proof,agentic,imo_1969_p2,0,False,False,False,False,0.03911638,256394,135649,10212,7565,0.0635332,20,0
validation__agentic__proof__aime_1984_p7__seed1,validation,proof,agentic,aime_1984_p7,1,False,False,False,False,0.04561972,24851,17836,36550,3632,0.0488302,4,0
validation__agentic__proof__mathd_algebra_433__seed0,validation,proof,agentic,mathd_algebra_433,0,True,True,True,False,0.00292694,23584,16497,983,630,0.0058963999999999996,5,0
validation__ace_selected__proof__mathd_numbertheory_284__seed0,validation,proof,ace_selected,mathd_numbertheory_284,0,True,True,True,False,0.00027696000000000003,6081,6078,129,100,0.001371,1,0
validation__agentic__proof__mathd_numbertheory_33__seed0,validation,proof,agentic,mathd_numbertheory_33,0,True,True,True,False,0.005953679999999999,56829,44794,2209,1168,0.014016599999999999,10,0
validation__agentic__proof__mathd_numbertheory_64__seed1,validation,proof,agentic,mathd_numbertheory_64,1,True,True,True,False,0.00459094,28550,23657,2616,1678,0.0088492,5,0
